company,careers_url,ats,clean_api
Teads,https://www.teads.com/teads-careers/,Greenhouse,yes
Electricity Maps,https://careers.electricitymaps.com/,,no
Overstory,https://www.overstory.com/careers,Greenhouse,yes
Wherobots,https://wherobots.com/careers/,Rippling,unknown
Zapier,https://zapier.com/jobs#job-openings,Ashby,yes
Carto,https://carto.com/careers/,Pinpoint,unknown
Carbon Direct,https://www.carbon-direct.com/careers#jobPostings,Greenhouse,yes
Chargetrip,https://www.chargetrip.com/careers,,no
Sigma,https://www.sigmacomputing.com/company/careers,Greenhouse,yes
Inspiration Mobility,https://inspirationmobility.com/about/careers,Rippling,unknown
Headway,https://headway.co/careers,Ashby,yes
